,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,FSD,TSD,density,pH,sulphates,alcohol,quality
0,0.24778761061946908,0.7,0.0,0.0684931506849315,0.076,0.14084507042253522,0.0989399293286219,0.9978,0.606299212598425,0.56,0.15384615384615397,5
1,0.2831858407079646,0.88,0.0,0.11643835616438356,0.098,0.33802816901408456,0.215547703180212,0.9968,0.3622047244094486,0.68,0.2153846153846155,5
2,0.2831858407079646,0.76,0.04,0.0958904109589041,0.092,0.19718309859154928,0.16961130742049468,0.997,0.4094488188976375,0.65,0.2153846153846155,5
3,0.5840707964601769,0.28,0.56,0.0684931506849315,0.075,0.22535211267605634,0.19081272084805656,0.998,0.3307086614173227,0.58,0.2153846153846155,6
4,0.24778761061946908,0.7,0.0,0.0684931506849315,0.076,0.14084507042253522,0.0989399293286219,0.9978,0.606299212598425,0.56,0.15384615384615397,5
5,0.24778761061946908,0.66,0.0,0.06164383561643835,0.075,0.16901408450704225,0.12014134275618375,0.9978,0.606299212598425,0.56,0.15384615384615397,5
6,0.2920353982300885,0.6,0.06,0.04794520547945205,0.069,0.19718309859154928,0.1872791519434629,0.9964,0.44094488188976344,0.46,0.15384615384615397,5
7,0.23893805309734517,0.65,0.0,0.02054794520547945,0.065,0.19718309859154928,0.053003533568904596,0.9946,0.5118110236220472,0.47,0.24615384615384617,7
8,0.2831858407079646,0.58,0.02,0.07534246575342465,0.073,0.11267605633802817,0.04240282685512367,0.9968,0.48818897637795233,0.57,0.1692307692307693,7
9,0.256637168141593,0.5,0.36,0.3561643835616438,0.071,0.22535211267605634,0.3392226148409894,0.9978,0.4803149606299213,0.8,0.32307692307692304,5
10,0.18584070796460184,0.58,0.08,0.06164383561643835,0.0969999999999999,0.19718309859154928,0.20848056537102472,0.9959,0.4251968503937005,0.54,0.12307692307692308,5
11,0.256637168141593,0.5,0.36,0.3561643835616438,0.071,0.22535211267605634,0.3392226148409894,0.9978,0.4803149606299213,0.8,0.32307692307692304,5
12,0.08849557522123891,0.615,0.0,0.04794520547945205,0.089,0.2112676056338028,0.1872791519434629,0.9943,0.6614173228346458,0.52,0.23076923076923084,5
13,0.2831858407079646,0.61,0.29,0.04794520547945205,0.114,0.11267605633802817,0.0812720848056537,0.9974,0.4094488188976375,1.56,0.10769230769230775,5
14,0.38053097345132747,0.62,0.18,0.19863013698630136,0.176,0.7183098591549296,0.4911660777385159,0.9986,0.3307086614173227,0.88,0.12307692307692308,5
15,0.38053097345132747,0.62,0.19,0.20547945205479448,0.17,0.7042253521126761,0.5017667844522967,0.9986,0.3385826771653542,0.93,0.12307692307692308,5
16,0.34513274336283184,0.28,0.56,0.06164383561643835,0.092,0.47887323943661975,0.34275618374558303,0.9969,0.44094488188976344,0.75,0.32307692307692304,7
17,0.3097345132743363,0.56,0.28,0.0547945205479452,0.368,0.2112676056338028,0.17667844522968196,0.9968,0.29133858267716484,1.28,0.13846153846153864,5
18,0.24778761061946908,0.59,0.08,0.23972602739726026,0.086,0.07042253521126761,0.0812720848056537,0.9974,0.5039370078740153,0.5,0.0923076923076922,4
19,0.2920353982300885,0.32,0.51,0.06164383561643835,0.341,0.22535211267605634,0.17667844522968196,0.9969,0.23622047244094446,1.08,0.12307692307692308,6
20,0.38053097345132747,0.22,0.48,0.06164383561643835,0.077,0.3943661971830986,0.19081272084805656,0.9968,0.5118110236220472,0.53,0.15384615384615397,6
21,0.2654867256637168,0.39,0.31,0.0958904109589041,0.0819999999999999,0.3098591549295775,0.2296819787985866,0.9982,0.6141732283464565,0.65,0.19999999999999996,5
22,0.2920353982300885,0.43,0.21,0.04794520547945205,0.106,0.1267605633802817,0.10954063604240281,0.9966,0.3385826771653542,0.91,0.1692307692307693,5
23,0.34513274336283184,0.49,0.11,0.0958904109589041,0.084,0.11267605633802817,0.215547703180212,0.9968,0.3385826771653542,0.53,0.15384615384615397,5
24,0.20353982300884965,0.4,0.14,0.10273972602739725,0.085,0.28169014084507044,0.12014134275618375,0.9968,0.5433070866141732,0.63,0.19999999999999996,6
25,0.1504424778761062,0.39,0.16,0.03424657534246575,0.08,0.14084507042253522,0.06007067137809187,0.9955,0.47244094488188937,0.56,0.13846153846153864,5
26,0.2654867256637168,0.41,0.24,0.06164383561643835,0.08,0.04225352112676056,0.0176678445229682,0.9962,0.4251968503937005,0.59,0.1692307692307693,5
27,0.2920353982300885,0.43,0.21,0.04794520547945205,0.106,0.1267605633802817,0.10954063604240281,0.9966,0.3385826771653542,0.91,0.1692307692307693,5
28,0.22123893805309736,0.71,0.0,0.0684931506849315,0.08,0.18309859154929578,0.10247349823321555,0.9972,0.5748031496062991,0.55,0.15384615384615397,5
29,0.2831858407079646,0.645,0.0,0.07534246575342465,0.0819999999999999,0.09859154929577466,0.0353356890459364,0.9964,0.5039370078740153,0.59,0.2153846153846155,6
30,0.18584070796460184,0.675,0.07,0.10273972602739725,0.089,0.22535211267605634,0.26855123674911663,0.9958,0.4803149606299213,0.54,0.2615384615384615,5
31,0.20353982300884965,0.685,0.0,0.1095890410958904,0.105,0.295774647887324,0.10954063604240281,0.9966,0.5669291338582676,0.57,0.33846153846153837,6
32,0.32743362831858414,0.655,0.12,0.0958904109589041,0.083,0.19718309859154928,0.37809187279151946,0.9966,0.3385826771653542,0.66,0.2153846153846155,5
33,0.20353982300884965,0.605,0.12,0.6712328767123287,0.073,0.5492957746478874,0.27208480565371024,0.9993,0.5590551181102361,0.52,0.15384615384615397,6
34,0.05309734513274339,0.32,0.25,0.06164383561643835,0.103,0.16901408450704225,0.15547703180212014,0.9957,0.5039370078740153,0.55,0.12307692307692308,5
35,0.2831858407079646,0.645,0.0,0.31506849315068486,0.086,0.056338028169014086,0.04240282685512367,0.9986,0.5196850393700787,0.55,0.18461538461538463,6
36,0.2831858407079646,0.6,0.14,0.10273972602739725,0.086,0.02816901408450704,0.03180212014134276,0.9975,0.5354330708661417,0.6,0.36923076923076925,6
37,0.3097345132743363,0.38,0.28,0.0821917808219178,0.066,0.16901408450704225,0.08480565371024736,0.9968,0.38582677165354307,0.73,0.19999999999999996,7
38,0.09734513274336287,1.13,0.09,0.0410958904109589,0.172,0.08450704225352114,0.04593639575971732,0.994,0.5984251968503935,0.48,0.2153846153846155,4
39,0.23893805309734517,0.45,0.36,0.34246575342465757,0.074,0.15492957746478872,0.28621908127208484,0.9978,0.46456692913385833,0.83,0.32307692307692304,5
40,0.23893805309734517,0.45,0.36,0.34246575342465757,0.074,0.15492957746478872,0.28621908127208484,0.9978,0.46456692913385833,0.83,0.32307692307692304,5
41,0.3716814159292037,0.61,0.3,0.13013698630136986,0.088,0.22535211267605634,0.1413427561837456,0.9976,0.4094488188976375,0.51,0.13846153846153864,4
42,0.256637168141593,0.49,0.2,0.11643835616438356,0.332,0.09859154929577466,0.028268551236749116,0.9968,0.3700787401574801,0.9,0.32307692307692304,6
43,0.3097345132743363,0.66,0.22,0.08904109589041095,0.069,0.11267605633802817,0.06007067137809187,0.9968,0.44094488188976344,1.2,0.2923076923076924,5
44,0.19469026548672563,0.67,0.02,0.06164383561643835,0.05,0.056338028169014086,0.0176678445229682,0.9962,0.5826771653543306,0.52,0.1692307692307693,5
45,0.0,0.52,0.15,0.0821917808219178,0.054,0.09859154929577466,0.20848056537102472,0.9934,0.9133858267716533,0.56,0.723076923076923,4
46,0.2743362831858408,0.935,0.43,0.08904109589041095,0.114,0.295774647887324,0.38162544169611307,0.997,0.40157480314960603,0.73,0.12307692307692308,5
47,0.36283185840707965,0.29,0.52,0.04794520547945205,0.113,0.15492957746478872,0.10954063604240281,0.9969,0.40157480314960603,0.58,0.1692307692307693,5
48,0.15929203539823011,0.4,0.23,0.04794520547945205,0.066,0.056338028169014086,0.021201413427561835,0.9958,0.47244094488188937,0.56,0.12307692307692308,5
49,0.08849557522123891,0.31,0.37,0.03424657534246575,0.074,0.15492957746478872,0.31802120141342755,0.9954,0.4566929133858264,0.58,0.12307692307692308,5
50,0.3716814159292037,0.66,0.26,0.0547945205479452,0.074,0.04225352112676056,0.06007067137809187,0.9971,0.3228346456692912,0.74,0.12307692307692308,5
51,0.17699115044247782,0.52,0.04,0.08904109589041095,0.069,0.09859154929577466,0.03180212014134276,0.9956,0.5196850393700787,0.63,0.15384615384615397,6
52,0.17699115044247782,0.5,0.04,0.0821917808219178,0.068,0.07042253521126761,0.028268551236749116,0.9955,0.5118110236220472,0.64,0.15384615384615397,6
53,0.35398230088495575,0.38,0.36,0.14383561643835616,0.081,0.4084507042253521,0.3992932862190813,0.997,0.3622047244094486,0.56,0.15384615384615397,5
54,0.2654867256637168,0.51,0.15,0.13013698630136986,0.11,0.4507042253521127,0.23674911660777387,0.9955,0.3385826771653542,0.63,0.2769230769230768,6
55,0.2743362831858408,0.62,0.04,0.19863013698630136,0.084,0.33802816901408456,0.13780918727915192,0.9978,0.47244094488188937,0.53,0.1692307692307693,5
56,0.49557522123893805,0.42,0.57,0.17123287671232876,0.07,0.04225352112676056,0.014134275618374562,0.9971,0.23622047244094446,0.63,0.18461538461538463,5
57,0.256637168141593,0.63,0.12,0.28767123287671226,0.111,0.6901408450704226,0.3674911660777385,0.9983,0.4094488188976375,0.77,0.15384615384615397,5
58,0.2831858407079646,0.59,0.18,0.0958904109589041,0.076,0.22535211267605634,0.16961130742049468,0.9975,0.5433070866141732,0.59,0.24615384615384617,5
59,0.23893805309734517,0.39,0.31,0.10273972602739725,0.074,0.11267605633802817,0.1413427561837456,0.9962,0.5275590551181102,0.54,0.15384615384615397,6
60,0.3716814159292037,0.4,0.4,0.08904109589041095,0.079,0.25352112676056343,0.1625441696113074,0.998,0.5511811023622046,0.64,0.12307692307692308,5
61,0.2743362831858408,0.69,0.49,0.06164383561643835,0.115,0.26760563380281693,0.3745583038869258,0.9968,0.3700787401574801,0.71,0.13846153846153864,5
62,0.256637168141593,0.52,0.16,0.0684931506849315,0.085,0.15492957746478872,0.10247349823321555,0.9968,0.5039370078740153,0.62,0.1692307692307693,7
63,0.21238938053097345,0.735,0.05,0.07534246575342465,0.081,0.16901408450704225,0.16961130742049468,0.9966,0.5118110236220472,0.57,0.2153846153846155,5
64,0.23008849557522126,0.725,0.05,0.2568493150684932,0.086,0.04225352112676056,0.0176678445229682,0.9962,0.5275590551181102,0.39,0.3846153846153846,5
65,0.23008849557522126,0.725,0.05,0.2568493150684932,0.086,0.04225352112676056,0.0176678445229682,0.9962,0.5275590551181102,0.39,0.3846153846153846,5
66,0.256637168141593,0.52,0.11,0.0410958904109589,0.079,0.14084507042253522,0.11660777385159012,0.9968,0.5354330708661417,0.58,0.18461538461538463,5
67,0.17699115044247782,0.705,0.07,0.04794520547945205,0.076,0.07042253521126761,0.03180212014134276,0.9962,0.5511811023622046,0.58,0.3538461538461537,5
68,0.4159292035398231,0.32,0.57,0.07534246575342465,0.074,0.36619718309859156,0.20848056537102472,0.9969,0.4251968503937005,0.79,0.3538461538461537,5
69,0.3008849557522124,0.705,0.05,0.0684931506849315,0.074,0.09859154929577466,0.04593639575971732,0.9962,0.47244094488188937,0.95,0.32307692307692304,6
70,0.2743362831858408,0.63,0.08,0.0684931506849315,0.076,0.19718309859154928,0.07420494699646643,0.9967,0.4566929133858264,0.54,0.1692307692307693,6
71,0.2743362831858408,0.67,0.23,0.0821917808219178,0.088,0.22535211267605634,0.31802120141342755,0.9962,0.4566929133858264,0.48,0.1692307692307693,5
72,0.2743362831858408,0.69,0.22,0.0684931506849315,0.084,0.23943661971830985,0.31095406360424027,0.9961,0.44881889763779537,0.48,0.1692307692307693,5
73,0.32743362831858414,0.675,0.26,0.0821917808219178,0.084,0.14084507042253522,0.13074204946996465,0.9976,0.44881889763779537,0.53,0.12307692307692308,4
74,0.4513274336283185,0.32,0.54,0.1095890410958904,0.094,0.3802816901408451,0.27208480565371024,0.9984,0.4251968503937005,0.82,0.18461538461538463,5
